order_id,order_date,customer_id,customer_name,region,product_category,product_name,quantity,unit_price,discount_pct,revenue,sales_rep
ORD-10137,2024-11-19,OE-0282,Oakwood Enterprises,South,Furniture,Monitor Arm,4,88.43,0.05,336.03,Yuki Tanaka
ORD-10141,2024-11-11,NG-0559,Northgate Partners,East,Electronics,Webcam HD 1080p,1,87.51,0,87.51,Tom Buchan
ORD-10142,2024-11-22,MP-0115,Meridian Partners,East,Apparel,Fleece Jacket,4,64.82,0,259.28,Jordan Lee
ORD-10143,2024-11-18,BR-0229,Blue Ridge Consulting,South,Apparel,Fleece Jacket,10,68.0,0.1,612.0,Yuki Tanaka
ORD-10144,2024-11-22,SA-0251,Summit Analytics,Central,Electronics,USB-C Hub,10,36.42,0.15,309.57,Tom Buchan
ORD-10148,2024-11-13,BR-0229,Blue Ridge Consulting,West,Apparel,Fleece Jacket,2,66.76,0.15,113.49,Priya Sharma
ORD-10149,2024-11-22,RL-0031,Riverview Logistics,West,Office Supplies,A4 Paper Ream,2,10.14,0.1,18.25,Jordan Lee
ORD-10150,2024-11-26,HV-0605,Harborview Group,West,Furniture,Bookshelf 5-Tier,12,129.15,0,1549.8,Priya Sharma
ORD-10153,2024-11-19,TA-0033,Thornhill Associates,South,Apparel,Company Cap,6,19.48,0.2,93.5,Yuki Tanaka
ORD-10154,2024-11-11,SV-0090,Sunrise Ventures,South,Office Supplies,Stapler Heavy Duty,6,22.98,0,137.88,Aisha Nkosi
ORD-10157,2024-11-07,BR-0229,Blue Ridge Consulting,East,Furniture,Filing Cabinet,12,180.99,0,2171.88,Elena Ruiz
ORD-10159,2024-11-05,NG-0559,Northgate Partners,South,Furniture,Bookshelf 5-Tier,11,129.87,0.15,1214.28,Yuki Tanaka
ORD-10160,2024-11-05,AD-0143,Apex Dynamics,South,Furniture,Filing Cabinet,6,180.95,0.05,1031.41,Dario Ferri
ORD-10163,2024-11-14,TA-0033,Thornhill Associates,Central,Office Supplies,A4 Paper Ream,5,9.61,0,48.05,Elena Ruiz
ORD-10165,2024-11-12,TA-0033,Thornhill Associates,East,Apparel,Company Cap,12,20.94,0.1,226.15,Marcus Webb
ORD-10168,2024-11-29,BR-0229,Blue Ridge Consulting,Central,Electronics,Wireless Headphones,12,77.0,0.1,831.6,Tom Buchan
ORD-10169,2024-11-29,TA0033,Thornhill Associates,Central,Electronics,Bluetooth Speaker,2,57.06,0.2,91.3,Tom Buchan
ORD-10172,2024-11-14,SV-0090,Sunrise Ventures,Central,Electronics,Bluetooth Speaker,2,57.38,0.2,91.81,Elena Ruiz
ORD-10176,2024-11-04,MP-115,Meridian Partners,East,Office Supplies,A4 Paper Ream,2,9.61,0,19.22,Marcus Webb
ORD-10180,2024-11-19,GF-0096,Greenfield Solutions,Central,Office Supplies,Stapler Heavy Duty,5,23.19,0.2,92.76,Aisha Nkosi
ORD-10184,2024-11-12,GF-0096,Greenfield Solutions,West,Apparel,Fleece Jacket,11,63.46,0,698.06,Jordan Lee
ORD-10185,2024-11-07,SA-0251,Summit Analytics,West,Office Supplies,Label Maker,10,39.16,0.05,372.02,Priya Sharma
ORD-10187,2024-11-11,VP-0105,Vantage Point Inc,South,Furniture,Monitor Arm,11,91.44,0.1,905.26,Yuki Tanaka
ORD-10189,2024-11-14,TA-0033,Thornhill Associates,East,Sports & Outdoors,Resistance Bands Set,2,28.99,0,57.98,Aisha Nkosi
ORD-10192,2024-11-19,RL-0031,Riverview Logistics,Central,Office Supplies,A4 Paper Ream,12,10.43,0.05,118.9,Tom Buchan
ORD-10196,2024-11-14,GF-0096,Greenfield Solutions,South,Furniture,Monitor Arm,1,87.55,0,87.55,Jordan Lee
ORD-10197,2024-11-29,RC-0755,Redstone Corp,East,Office Supplies,Label Maker,8,38.72,0,309.76,Jordan Lee
ORD-10201,2024-11-19,HV-0605,Harborview Group,West,Office Supplies,A4 Paper Ream,11,10.35,0,113.85,Priya Sharma
ORD-10204,2024-11-13,HV-0605,Harborview Group,Central,Office Supplies,Desk Organiser,9,24.88,0,223.92,Tom Buchan
ORD-10207,2024-11-11,PS-0760,Pinnacle Solutions,West,Office Supplies,Whiteboard Markers,8,14.32,0.05,108.83,Dario Ferri
ORD-10210,2024-11-19,HV-0605,Harborview Group,West,Furniture,Standing Desk,5,519.03,0.05,2465.39,Yuki Tanaka
ORD-10214,2024-11-06,GF-0096,Greenfield Solutions,East,Furniture,Ergonomic Chair,9,335.75,0.05,2870.66,Aisha Nkosi
ORD-10215,2024-11-14,PS-0760,Pinnacle Solutions,East,Apparel,Company Cap,7,19.96,0.2,111.78,Marcus Webb
ORD-10219,2024-11-11,TA-0033,Thornhill Associates,East,Sports & Outdoors,Resistance Bands Set,2,30.81,0,61.62,Marcus Webb
ORD-10223,2024-11-12,CS-0433,Cascade Systems,East,Apparel,Safety Vest Hi-Vis,3,25.09,0.05,71.51,Tom Buchan
ORD-10226,2024-11-12,TA-0033,Thornhill Associates,South,Furniture,Standing Desk,12,503.58,0,6042.96,Dario Ferri
ORD-10228,2024-11-26,NG-0559,Northgate Partners,West,Office Supplies,Desk Organiser,7,26.21,0.05,174.3,Jordan Lee
ORD-10230,2024-11-15,MP-0115,Meridian Partners,East,Office Supplies,Desk Organiser,2,25.85,0.2,41.36,Marcus Webb
ORD-10231,2024-11-15,SV-0090,Sunrise Ventures,West,Office Supplies,Label Maker,3,39.87,0,119.61,Jordan Lee
ORD-10234,2024-11-12,LT0914,Lakeside Tech,South,Apparel,Safety Vest Hi-Vis,6,25.54,0.15,130.25,Priya Sharma
ORD-10238,2024-11-26,MP-0115,Meridian Partners,West,Office Supplies,A4 Paper Ream,4,9.58,0.15,32.57,Priya Sharma
ORD-10239,2024-11-21,ps-0760,Pinnacle Solutions,South,Furniture,Ergonomic Chair,1,360.35,0,360.35,Yuki Tanaka
ORD-10242,2024-11-13,NG-0559,Northgate Partners,East,Office Supplies,Label Maker,3,38.69,0,116.07,Marcus Webb
ORD-10246,2024-11-19,AD-0143,Apex Dynamics,West,Furniture,Monitor Arm,8,91.49,0,731.92,Yuki Tanaka
ORD-10250,2024-11-27,TA-0033,Thornhill Associates,East,Sports & Outdoors,Yoga Mat,11,40.75,0.05,425.84,Marcus Webb
ORD-10254,2024-11-26,BR-0229,Blue Ridge Consulting,West,Furniture,Filing Cabinet,6,176.32,0.1,952.13,Dario Ferri
ORD-10257,2024-11-01,LT-0914,Lakeside Tech,,Apparel,Branded Polo Shirt,10,34.98,0.15,297.33,Tom Buchan
ORD-10260,2024-11-22,AD-0143,Apex Dynamics,Central,Electronics,USB-C Hub,11,35.76,0.2,314.69,Elena Ruiz
ORD-10262,2024-11-19,MP-0115,Meridian Partners,West,Office Supplies,Label Maker,3,41.63,0,124.89,Tom Buchan
ORD-10265,2024-11-21,SA-0251,Summit Analytics,East,Office Supplies,A4 Paper Ream,9,10.4,0.1,84.24,Aisha Nkosi
ORD-10267,2024-11-11,HV-0605,Harborview Group,Central,Furniture,Ergonomic Chair,8,337.42,0,2699.36,Tom Buchan
ORD-10269,2024-11-26,LT-0914,Lakeside Tech,Central,Furniture,Monitor Arm,9,89.58,0,806.22,Elena Ruiz
ORD-10272,2024-11-18,IW-0759,Ironwood Industries,West,Office Supplies,Whiteboard Markers,9,15.61,0,140.49,Priya Sharma
ORD-10274,2024-11-20,SV-0090,Sunrise Ventures,Central,Electronics,Wireless Headphones,1,83.96,0,83.96,Tom Buchan
ORD-10275,2024-11-05,TA-0033,Thornhill Associates,East,Furniture,Filing Cabinet,7,184.35,0.1,1161.4,Marcus Webb
ORD-10277,2024-11-27,PS-0760,Pinnacle Solutions,South,Sports & Outdoors,Yoga Mat,1,39.47,0.15,33.55,Yuki Tanaka
ORD-10281,2024-11-14,AD-0143,Apex Dynamics,Central,Office Supplies,Whiteboard Markers,11,14.33,0,157.63,Elena Ruiz
ORD-10284,2024-11-07,PS-0760,Pinnacle Solutions,South,Electronics,Webcam HD 1080p,1,92.57,0,92.57,Yuki Tanaka
ORD-10286,2024-11-29,RL-0031,Riverview Logistics,East,Apparel,Fleece Jacket,10,67.02,0,670.2,Aisha Nkosi
ORD-10288,2024-11-12,OE-0282,Oakwood Enterprises,West,Sports & Outdoors,Resistance Bands Set,9,30.89,0,278.01,Jordan Lee
ORD-10289,2024-11-20,BH-0655,Bright Horizons LLC,,Apparel,Fleece Jacket,10,61.84,0,618.4,Marcus Webb
ORD-10292,2024-11-04,NG-0559,Northgate Partners,West,Office Supplies,Desk Organiser,6,25.22,0.1,136.19,Priya Sharma
ORD-10296,2024-11-15,GF0096,Greenfield Solutions,West,Sports & Outdoors,Yoga Mat,8,41.85,0.15,284.58,Jordan Lee
ORD-10297,2024-11-29,LT-0914,Lakeside Tech,South,Office Supplies,Stapler Heavy Duty,2,22.58,0,45.16,Dario Ferri
ORD-10299,2024-11-04,RC-0755,Redstone Corp,Central,Office Supplies,A4 Paper Ream,8,10.1,0.1,72.72,Elena Ruiz
ORD-10300,2024-11-22,PS-0760,Pinnacle Solutions,East,Sports & Outdoors,Foam Roller,6,24.87,0.2,119.38,Aisha Nkosi
ORD-10304,2024-11-21,CA-0693,Clearwater Advisory,South,Furniture,Standing Desk,11,478.35,0.05,4998.76,Dario Ferri
ORD-10305,2024-11-05,PS-0760,Pinnacle Solutions,South,Electronics,Webcam HD 1080p,9,91.52,0,823.68,Elena Ruiz
ORD-10309,2024-11-13,NG-0559,Northgate Partners,South,Furniture,Ergonomic Chair,10,339.94,0.1,3059.46,Jordan Lee
ORD-10313,2024-11-08,PS-0760,Pinnacle Solutions,East,Electronics,USB-C Hub,10,36.06,0,360.6,Elena Ruiz
ORD-10314,2024-11-19,RC-0755,Redstone Corp,West,Apparel,Company Cap,6,19.0,0,114.0,Jordan Lee
ORD-10316,2024-11-18,LT-0914,Lakeside Tech,West,Office Supplies,Sticky Notes 12-Pack,2,9.02,0.15,15.33,Priya Sharma
ORD-10320,2024-11-14,CA-0693,Clearwater Advisory,East,Apparel,Branded Polo Shirt,1,33.79,0,33.79,Marcus Webb
ORD-10321,2024-11-20,RC-0755,Redstone Corp,South,Office Supplies,Stapler Heavy Duty,7,22.34,0,156.38,Yuki Tanaka
ORD-10322,2024-11-12,PS-0760,Pinnacle Solutions,Central,Office Supplies,Whiteboard Markers,11,14.31,0,157.41,Tom Buchan
ORD-10326,2024-11-29,MP-0115,Meridian Partners,West,Sports & Outdoors,Resistance Bands Set,5,29.47,0,147.35,Jordan Lee
ORD-10327,2024-11-15,NG-0559,Northgate Partners,East,Office Supplies,Gel Pens Set,9,13.42,0.1,108.7,Marcus Webb
ORD-10330,2024-11-04,MP-0115,Meridian Partners,,Sports & Outdoors,Yoga Mat,10,40.28,0.05,382.66,Dario Ferri
ORD-10334,2024-11-11,LT-0914,Lakeside Tech,East,Apparel,Safety Vest Hi-Vis,12,23.96,0,287.52,Jordan Lee
ORD-10335,2024-11-11,RL-0031,Riverview Logistics,South,Furniture,Monitor Arm,12,87.48,0,1049.76,Dario Ferri
ORD-10337,2024-11-04,PS-0760,Pinnacle Solutions,Central,Furniture,Standing Desk,4,482.31,0,1929.24,Aisha Nkosi
ORD-10339,2024-11-07,OE-0282,Oakwood Enterprises,West,Apparel,Safety Vest Hi-Vis,8,25.15,0.2,160.96,Priya Sharma
ORD-10343,2024-11-20,RL-0031,Riverview Logistics,South,Furniture,Bookshelf 5-Tier,2,129.24,0.05,245.56,Elena Ruiz
ORD-10346,2024-11-22,RL-0031,Riverview Logistics,West,Electronics,Bluetooth Speaker,8,57.33,0,458.64,Jordan Lee
ORD-10349,2024-11-04,CG-0026,Crestwood Group,South,Office Supplies,Desk Organiser,12,24.86,0,298.32,Dario Ferri
ORD-10351,2024-11-12,HV0605,Harborview Group,Central,Electronics,USB-C Hub,12,35.01,0,420.12,Marcus Webb
ORD-10353,2024-11-01,SV-0090,Sunrise Ventures,South,Office Supplies,A4 Paper Ream,6,9.88,0,59.28,Yuki Tanaka
ORD-10356,2024-11-20,MP-0115,Meridian Partners,Central,Electronics,Bluetooth Speaker,5,61.33,0,306.65,Elena Ruiz
ORD-10358,2024-11-12,rl-0031,Riverview Logistics,Central,Sports & Outdoors,Foam Roller,3,25.51,0.1,68.88,Marcus Webb
ORD-10359,2024-11-12,LT-914,Lakeside Tech,South,Apparel,Branded Polo Shirt,11,34.72,0.15,324.63,Elena Ruiz
ORD-10362,2024-11-01,VP-0105,Vantage Point Inc,Central,Sports & Outdoors,Foam Roller,4,26.24,0,104.96,Marcus Webb
ORD-10364,2024-11-04,PS-0760,Pinnacle Solutions,West,Apparel,Fleece Jacket,10,62.74,0.05,596.03,Jordan Lee
ORD-10366,2024-11-25,GF-0096,Greenfield Solutions,East,Electronics,USB-C Hub,11,34.07,0.15,318.55,Marcus Webb
ORD-10370,2024-11-19,SV-0090,Sunrise Ventures,East,Furniture,Bookshelf 5-Tier,4,132.31,0,529.24,Aisha Nkosi
ORD-10374,2024-11-14,VP-0105,Vantage Point Inc,South,Office Supplies,Gel Pens Set,4,13.13,0.2,42.02,Dario Ferri
ORD-10377,2024-11-04,HV-0605,Harborview Group,Central,Electronics,Webcam HD 1080p,2,86.25,0,172.5,Elena Ruiz
ORD-10379,2024-11-11,CS-0433,Cascade Systems,West,Sports & Outdoors,Resistance Bands Set,8,31.28,0,250.24,Marcus Webb
ORD-10383,2024-11-04,CS-0433,Cascade Systems,Central,Sports & Outdoors,Yoga Mat,4,39.26,0,157.04,Elena Ruiz
ORD-10384,2024-11-25,CA-0693,Clearwater Advisory,East,Furniture,Bookshelf 5-Tier,12,125.29,0.2,1202.78,Marcus Webb
ORD-10388,2024-11-14,BH-0655,Bright Horizons LLC,,Electronics,Laptop Stand,9,50.53,0.15,386.55,Priya Sharma
ORD-10392,2024-11-05,VP-0105,Vantage Point Inc,East,Electronics,Bluetooth Speaker,11,60.73,0.2,534.42,Aisha Nkosi
ORD-10393,2024-11-05,HV-0605,Harborview Group,West,Office Supplies,Label Maker,3,39.71,0,119.13,Jordan Lee
ORD-10396,2024-11-11,NG-0559,Northgate Partners,East,Electronics,USB-C Hub,2,35.14,0.1,63.25,Marcus Webb
ORD-10397,2024-11-13,HV-0605,Harborview Group,West,Sports & Outdoors,Yoga Mat,12,39.42,0,473.04,Jordan Lee
ORD-10398,2024-11-12,PS-0760,Pinnacle Solutions,Central,Furniture,Monitor Arm,11,92.96,0,1022.56,Elena Ruiz
ORD-10402,2024-11-29,HV-0605,Harborview Group,West,Apparel,Safety Vest Hi-Vis,1,24.24,0,24.24,Marcus Webb
ORD-10404,2024-11-27,CA-0693,Clearwater Advisory,Central,Sports & Outdoors,Foam Roller,5,25.62,0,128.1,Tom Buchan
ORD-10406,2024-11-11,MP-0115,Meridian Partners,Central,Apparel,Safety Vest Hi-Vis,7,24.84,0.15,147.8,Elena Ruiz
ORD-10410,2024-11-12,SA0251,Summit Analytics,South,Furniture,Filing Cabinet,5,172.48,0.2,689.92,Yuki Tanaka
ORD-10414,2024-11-05,GF-0096,Greenfield Solutions,East,Furniture,Ergonomic Chair,6,342.84,0.15,1748.48,Marcus Webb
ORD-10418,2024-11-19,NG-0559,Northgate Partners,East,Furniture,Ergonomic Chair,12,364.4,0.2,3498.24,Marcus Webb
ORD-10422,2024-11-11,MP-0115,Meridian Partners,West,Office Supplies,Whiteboard Markers,12,14.48,0.15,147.7,Priya Sharma
ORD-10423,2024-11-06,GF-0096,Greenfield Solutions,,Electronics,USB-C Hub,6,36.56,0.05,208.39,Yuki Tanaka
ORD-10424,2024-11-19,SV-0090,Sunrise Ventures,Central,Apparel,Fleece Jacket,9,64.33,0,578.97,Elena Ruiz
ORD-10427,2024-11-11,PS-0760,Pinnacle Solutions,West,Office Supplies,Stapler Heavy Duty,9,22.44,0,201.96,Jordan Lee
ORD-10430,2024-11-20,BR-0229,Blue Ridge Consulting,Central,Sports & Outdoors,Resistance Bands Set,2,31.05,0,62.1,Tom Buchan
ORD-10434,2024-11-07,SV-0090,Sunrise Ventures,Central,Office Supplies,Label Maker,2,40.16,0.1,72.29,Priya Sharma
ORD-10437,2024-11-26,SA-0251,Summit Analytics,Central,Electronics,Laptop Stand,3,51.44,0,154.32,Elena Ruiz
ORD-10438,2024-11-13,RL-0031,Riverview Logistics,Central,Sports & Outdoors,Resistance Bands Set,10,28.69,0,286.9,Elena Ruiz
ORD-10442,2024-11-29,HV-0605,Harborview Group,Central,Electronics,USB-C Hub,11,34.81,0,382.91,Dario Ferri
ORD-10445,2024-11-06,TA-0033,Thornhill Associates,West,Office Supplies,Desk Organiser,1,24.05,0.2,19.24,Marcus Webb
ORD-10447,2024-11-12,SA-0251,Summit Analytics,West,Furniture,Filing Cabinet,5,172.41,0.2,689.64,Elena Ruiz
ORD-10449,2024-11-19,TA-0033,Thornhill Associates,Central,Furniture,Filing Cabinet,2,182.53,0.1,328.55,Tom Buchan
ORD-10451,2024-11-07,GF-0096,Greenfield Solutions,South,Electronics,Wireless Headphones,2,83.58,0,167.16,Elena Ruiz
ORD-10454,2024-11-20,RL-0031,Riverview Logistics,South,Electronics,Webcam HD 1080p,5,94.1,0.15,399.93,Dario Ferri
ORD-10458,2024-11-11,LT-0914,Lakeside Tech,Central,Office Supplies,Gel Pens Set,8,12.97,0.05,98.57,Tom Buchan
ORD-10460,2024-11-12,OE-0282,Oakwood Enterprises,East,Apparel,Company Cap,7,20.51,0,143.57,Elena Ruiz
ORD-10461,2024-11-12,SV-0090,Sunrise Ventures,West,Furniture,Ergonomic Chair,1,365.58,0,365.58,Priya Sharma
ORD-10465,2024-11-11,SA-0251,Summit Analytics,South,Furniture,Standing Desk,8,498.33,0.1,3587.98,Elena Ruiz
ORD-10468,2024-11-15,CG-0026,Crestwood Group,South,Sports & Outdoors,Resistance Bands Set,10,28.64,0,286.4,Dario Ferri
ORD-10471,2024-11-15,HV-0605,Harborview Group,Central,Apparel,Safety Vest Hi-Vis,3,25.56,0,76.68,Tom Buchan
ORD-10475,2024-11-13,LT0914,Lakeside Tech,West,Electronics,Webcam HD 1080p,5,88.97,0,444.85,Jordan Lee
ORD-10479,2024-11-21,RC-0755,Redstone Corp,West,Electronics,USB-C Hub,6,36.53,0.1,197.26,Priya Sharma
ORD-10481,2024-11-08,CS-0433,Cascade Systems,South,Electronics,Laptop Stand,12,51.51,0,618.12,Dario Ferri
ORD-10485,2024-11-06,CS-0433,Cascade Systems,East,Office Supplies,Gel Pens Set,7,13.3,0.1,83.79,Marcus Webb
ORD-10488,2024-11-19,cs-0433,Cascade Systems,South,Furniture,Ergonomic Chair,6,356.07,0,2136.42,Yuki Tanaka
ORD-10492,2024-11-18,BH-0655,Bright Horizons LLC,South,Office Supplies,Desk Organiser,10,24.31,0.1,218.79,Yuki Tanaka
ORD-10493,2024-11-18,SA-0251,Summit Analytics,South,Office Supplies,Sticky Notes 12-Pack,10,8.64,0.15,73.44,Dario Ferri
ORD-10494,2024-11-14,NG-0559,Northgate Partners,East,Electronics,Webcam HD 1080p,10,93.34,0.05,886.73,Marcus Webb
ORD-10495,2024-11-20,CS-0433,Cascade Systems,East,Sports & Outdoors,Foam Roller,9,24.52,0.05,209.65,Aisha Nkosi
ORD-10497,2024-11-14,TA-0033,Thornhill Associates,Central,Office Supplies,Desk Organiser,12,25.35,0.15,258.57,Elena Ruiz
ORD-10500,2024-11-19,BR-0229,Blue Ridge Consulting,East,Furniture,Monitor Arm,5,87.36,0.15,371.28,Aisha Nkosi
ORD-10504,2024-11-12,IW-0759,Ironwood Industries,Central,Office Supplies,Whiteboard Markers,7,15.47,0.05,102.88,Tom Buchan
ORD-10506,2024-11-11,VP-0105,Vantage Point Inc,West,Office Supplies,A4 Paper Ream,12,9.7,0.05,110.58,Priya Sharma
ORD-10509,2024-11-28,RC-0755,Redstone Corp,East,Apparel,Fleece Jacket,4,66.09,0,264.36,Marcus Webb
ORD-10511,2024-11-19,MP-0115,Meridian Partners,West,Apparel,Branded Polo Shirt,11,33.72,0.2,296.74,Priya Sharma
ORD-10513,2024-11-13,HV-0605,Harborview Group,South,Apparel,Company Cap,6,20.28,0,121.68,Yuki Tanaka
ORD-10514,2024-11-20,AD-0143,Apex Dynamics,East,Office Supplies,Desk Organiser,3,26.23,0,78.69,Jordan Lee
ORD-10518,2024-11-22,SA-0251,Summit Analytics,West,Furniture,Filing Cabinet,2,176.11,0,352.22,Tom Buchan
ORD-10522,2024-11-27,OE-0282,Oakwood Enterprises,South,Apparel,Company Cap,3,19.91,0.15,50.77,Yuki Tanaka
